NAME_ONE,HAZARD_COD,BASIN_NAME,RIVER_STRE,DAM_HEIGHT,DAM_LENGTH,SURFACE_AR,YEARBUILT,longitude,latitude
Oak Orchard Creek Dam,C,Western Lake Ontario,Oak Orchard Creek,90,760,335,1917,-78.24,43.3266666667
E J Harding Dam,0,Western Lake Ontario,Marsh Creek,18,0,2,1926,-78.1877777778,43.2669444444
Otter Creek Dam,A,Western Lake Ontario,Otter Creek,10,125,0,1904,-78.2422222222,43.2522222222
Glenbrook Detention Pond B Dam,A,Central Lake Ontario,Tufa Glen Stream,4,2632,4,0,-77.4888888889,43.1769444444
Cobblestone Creek Dam,A,Oswego,White Brook,14,600,11,0,-77.4111111111,43.0194444444
Brookville Subdivision Dam,B,Central Lake Ontario,Shipbuilders Creek,13,350,0,1990,-77.4952777778,43.2280555556
Carey Dam,D,Oswego,None,20,462,0,1984,-77.3708333333,43.1491666667
Stonewall Golf Course Dam A,A,Oswego,Tr-Red Creek,7,550,5.9,0,-77.3152777778,43.16
Stonewall Golf Course Dam B,A,Oswego,Tr-Red Creek,7,400,4.8,0,-77.3130555556,43.1583333333
Stonewall Golf Course Dam C,A,Oswego,Tr-Red Creek,7,400,7.5,0,-77.3088888889,43.1519444444
Windward Lake Dam,A,Oswego,Black Creek,2.5,0,8,0,-77.275,43.1280555556
Leeward Lake Dam,B,Oswego,Black Creek,16,0,7.2,0,-77.2980555556,43.1313888889
Cerame Pond Dam,0,Central Lake Ontario,None,0,0,0,0,-77.4955555556,43.0705555556
Rudy/dibella Waterski Lake Dam,A,Oswego,Tr-Thomas Creek,15,0,14,0,-77.4208333333,43.1319444444
Willow Pond Dam,B,Central Lake Ontario,Tr-Irondequoit Creek,10.9,0,3.9,1973,-77.4536111111,43.1219444444
Canandaigua Lake Dam,D,Oswego,Canandaigua Outlet,7,0,0,1910,-77.2622222222,42.8766666667
Fairport Reservoir Dam #1,B,Oswego,Tr-Great Brook,45,540,60,1923,-77.4363888889,42.9377777778
W N Clark Co Reservoir Dam,A,Chemung,Tr-Mud Creek,12,0,0,0,-77.4166666667,42.8988888889
Fairport Reservoir Dam #2,B,Oswego,Sucker Brook,20,700,35,1932,-77.4316666667,42.9377777778
Chas Gauss Pond Dam,A,Oswego,Tr-Mud Creek,14,225,1,1946,-77.4033333333,42.8822222222
William Muar Dam,D,Oswego,Canandaigua Outlet,4,0,10,0,-77.2586111111,42.8758333333
Stanley Steele Dam,A,Genesee,Tr-Honeoye Creek,11,0,2,1948,-77.4475,42.8855555556
W A Dillman Dam,A,Oswego,Great Brook,14,0,3,1949,-77.4425,42.9555555556
Ontario Farm Home Bureau & 4-h Dam,A,Oswego,Mud Creek,19,250,1,1950,-77.375,42.8088888889
Harold R Schreib Pond Dam,A,Genesee,Bebee Creek,9,0,5,1951,-77.4722222222,42.8858333333
Arvin White Marsh #2 Dam,A,Oswego,Tr-Mud Creek,10,0,2,1951,-77.3736111111,42.7944444444
Tyler Campbell Marsh Dam,A,Oswego,Tr-Canandaigua Lake,4,0,5,1952,-77.3130555556,42.8519444444
James Mcburney Farm Pond Dam,D,Oswego,Tr-Otisco Lake,9,0,4,0,-76.2975,42.9044444444
Julia Pilat Marsh #2 Dam,A,Oswego,Tr-Dutch Hollow Brook,10,0,7,1952,-76.4291666667,42.8016666667
Cayuga Tract #3 Pond #3 Dam,A,Oswego,Tr-Dutch Hollow Brook,7,0,11,1952,-76.4263888889,42.7925
Cayuga Tract #3 Pond #2 Dam,A,Oswego,Tr-Dutch Hollow Brook,9,0,10,1952,-76.42,42.795
Cayuga Tract #3 Pond #1 Dam,A,Oswego,Tr-Dutch Hollow Brook,7,0,3,1952,-76.4263888889,42.7955555556
Wursts Mill Dam,D,Lake Erie,E Branch Cazenovia Creek,14,90,0,1900,-78.5425,42.6386111111
Spring Reservoir Dam,A,Lake Erie,Spring Brook,3,0,0,0,-78.6627777778,42.5275
Spring Creek Dam,D,Lake Erie,Spring Creek,0,0,0,0,-78.6677777778,42.5063888889
Salyers Saw Mill Dam,D,Lake Erie,Spring Creek,12,96,0,1860,-78.67,42.5047222222
Orchard Park Reservoir Dam,A,Lake Erie,North Branch Pipe Creek,22,765,18,1933,-78.6533333333,42.69
Three Valley Campground Lower Dam,A,Lake Erie,E Branch Cazenovia Creek,15,0,3,0,-78.5158333333,42.6111111111
Harry Yates Dam,D,Lake Erie,Tr-Smokes Creek,13,500,4,1933,-78.7147222222,42.7466666667
Boy Scouts Dam,D,Lake Erie,E Branch Cazenovia Creek,16,0,4,1948,-78.5119444444,42.6111111111
Three Valley Gampground Upper Dam,A,Lake Erie,E Branch Cazenovia Creek,16,0,4,1950,-78.5111111111,42.6097222222
Ansel Lewis Farm Pond Dam,A,Lake Erie,Tr-Gears Gulf,11,20,2,1950,-78.5777777778,42.6122222222
Paul Schintzius Farm Pond Dam,A,Lake Erie,Tr-Buffalo Creek,9,0,1,1950,-78.5130555556,42.7211111111
Erie Board Of Supervisors Farm Dam,A,Lake Erie,Tr-Eighteenmile Creek,5,0,3,1950,-78.6586111111,42.5619444444
East Aurora Fish & Game Club Dam,A,Lake Erie,Tr-Cazenovia Creek,11,0,8,1952,-78.6616666667,42.7347222222
Holland Rod & Gun Club Pond Dam,A,Lake Erie,Tr-Cazenovia Creek,10,0,1,1952,-78.5172222222,42.62
Clinton Buehlman Pond Dam,A,Lake Erie,Tr-Pipe Creek,15,0,2,1952,-78.6461111111,42.6613888889
Pike Brook Dam,B,Lake Champlain,Tr-Pike Brook,30,75,2,1924,-73.4855555556,43.5822222222
Lock C-12 Dam,C,Lake Champlain,Champlain Canal,28,209,240,1912,-73.4002777778,43.5577777778
Boardman St. Reservoir Dam,B,Lake Champlain,Tr-Lake Champlain,15,350,3,1870,-73.4155555556,43.5511111111
Douglas Wildlife Marsh Dam,A,Lake Champlain,Tr-Mud Brook,7,120,11,1953,-73.3119444444,43.5736111111
L Hotaling Pond Dam,D,Lower Hudson,Tr-Kinderhook Creek,12,240,2,1971,-73.5591666667,42.4425
Lloyd Goodrich Pond Dam,A,Lower Hudson,Punsit Creek,11,900,4,1971,-73.5433333333,42.2813888889
Asbjorne Lund Pond Dam,A,Housatonic,Tr-Cranse Creek,20,420,5,1971,-73.5008333333,42.29
Mesick Wildlife Pond Dams A & B,A,Lower Hudson,Tr-Kinderhook Creek,13,360,6,1971,-73.6305555556,42.3994444444
Page Marsh Dam,0,Lake Erie,Dale Gulf,8,0,4,1957,-78.1447222222,42.8252777778
Strathern Marsh Dam,A,Lake Erie,Tr-Little Tonawanda Creek,7,0,8,1957,-78.1411111111,42.8116666667
Flowers-coburn Marsh Dam,A,Genesee,Tr-Canaway Gulf,6,0,13,1957,-78.0736111111,42.7783333333
Bauer Marsh Dam,0,Genesee,Tr-Holihan Gulf,5,0,11,1957,-78.0669444444,42.7666666667
Carpenter & Bauer Wildlife Marsh Dam,A,Genesee,Tr-Holihan Gulf,7,480,18,1957,-78.075,42.765
Morith Bros Pond Dam,0,Lake Erie,Tr-Dale Gulf,9,0,2,1957,-78.135,42.8183333333
Wheeler-robb Marsh Dam,0,Genesee,Tr-Sucker Creek,6,0,9,1957,-78.0519444444,42.77
Hawley-coburn Marsh Dam,0,Genesee,Tr-Holstead Gulf,6,0,6,1958,-78.075,42.7816666667
J Clute Marsh Dam,0,Oswego,Tr-Tannery Creek,8,0,2,1953,-77.3594444444,42.5855555556
Wheaton-merril Pond Dam,D,Oswego,Tr-Eelpot Creek,5,0,30,1953,-77.4605555556,42.5811111111
